№ п/п;Региональный Филиал;(А) Административный статус (рай.центр, обл.центр, пгт, сельское поселение и т.п.);(А) Наименование населенного пункта, адрес;(А) Сетевое имя устройства СПД;(А) Тип устройст СПД (DR, AR, L2 коммутатор опорной РСПД);(А) Модель шасси/Вендор;(B) Административный статус (рай.центр, обл.центр, пгт, сельское поселение и т.п.);(B) Наименование населенного пункта, адрес;(B) Сетевое имя устройства СПД;(B) Тип устройста (BRAS, BPE, RGR, DR, AR, L2 коммутатор опорной РСПД);(B) Модель шасси/Вендор;Емкость основного канала, Гбит/с;Утилизация основного канала в ЧНН, Гбит/с;Технология организации резервного канала (Нет, Прямые пачкорды, ВОЛС, ВОЛС кольцо, ВОЛС Аренда, DWDM, DWDM кольцо, CWDM, CWDM кольцо, РРЛ, SDH, , Аренда емкости);Емкость резервного канала, Гбит/с;Утилизация резервного канала в ЧНН, Гбит/с;Совокупная емкость каналов, Гбит/с;Совокупная уилизация каналов в ЧНН, Гбит/с;Совокупная уилизация каналов в ЧНН 4Q, %;Коэффициент резервирования;Коэффициент роста трафика на 4Q 2019г.;Прогнозная Совокупная уилизация каналов в ЧНН 4Q 2019г., Гбит/с;Прогнозная Совокупная уилизация каналов в ЧНН 4Q 2019г., %;Прогнозный Коэффициент резервирования 4Q 2019г.;Планируемые мероприятия по расширению;Комментарии;Совокупная утилизация каналов в ЧНН, Гбит/с;Совокупная утилизация каналов в ЧНН 4Q, %;;;;;
72;Ростовский филиал;Рай.центр;НОВОЧЕРКАССК;RONvcBkln25MX480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960d;CR;MX960;10;4,1;DWDM;;;10;4,1;41;;;;;;;;;;;;;;
73;Ростовский филиал;Рай.центр;НОВОЧЕРКАССК;RONvcBkln25MX480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960с;CR;MX960;10;6,67;DWDM;;;10;6,67;66,7;;;;;;;;;;;;;;
74;Ростовский филиал;Рай.центр;НОВОЧЕРКАССК;RONvcBkln25MX480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960d;CR;MX960;10;6,3;DWDM;;;10;6,3;63;;;;;;;;;;;;;;
75;Ростовский филиал;Рай.центр;НОВОШАХТИНСК;RoNvsHrkv56mx80;AR;MX80;Рай.центр;ШАХТЫ;ROShkthKMrks106MX480;AR;MX480;10;6,13;ВОЛС;;;10;6,13;61,3;;;;;;;;;;;;;;
76;Ростовский филиал;Рай.центр;МАТВЕЕВ КУРГАН;RoMKrKmsm108mx80;AR;MX80;Рай.центр;ПОКРОВСКОЕ;RoNklPrkv2mx80;AR;MX80;10;2,78;ВОЛС;;;10;2,78;27,8;;;;;;;;;;;;;;
77;Ростовский филиал;Рай.центр;МИЛЛЕРОВО;RoMllShlh33mx480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960d;CR;MX960;10;5,16;DWDM;;;10;5,16;51,6;;;;;;;;;;;;;;
78;Ростовский филиал;Рай.центр;МИЛЛЕРОВО;RoMllShlh33mx480;AR;MX480;Рай.центр;КАШАРЫ;RoKshLnn56mx80;AR;MX80;10;0,609;DWDM;;;10;0,609;6,09;;;;;;;;;;;;;;
79;Ростовский филиал;Рай.центр;МИЛЛЕРОВО;RoMllShlh33mx480;AR;MX480;Рай.центр;ТАРАСОВСКИЙ;RoTrsLerm50MX80;AR;MX80;10;0,123;DWDM;;;10;0,123;1,23;;;;;;;;;;;;;;
80;Ростовский филиал;Рай.центр;МИЛЮТИНСКАЯ;RoMltPvshG42mx80;AR;MX80;Рай.центр;МОРОЗОВСК;RoMrzPdtl11MX480;AR;MX480;10;0,633;ВОЛС;;;10;0,633;6,33;;;;;;;;;;;;;;
81;Ростовский филиал;Рай.центр;МОРОЗОВСК;RoMrzPdtl11MX480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960d;CR;MX960;10;1,1;DWDM;;;10;1,1;11;;;;;;;;;;;;;;
82;Ростовский филиал;Рай.центр;МОРОЗОВСК;RoMrzPdtl11MX480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960с;CR;MX960;10;1,28;DWDM;;;10;1,28;12,8;;;;;;;;;;;;;;
83;Ростовский филиал;Рай.центр;МОРОЗОВСК;RoMrzPdtl11MX480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960d;CR;MX960;10;1,3;DWDM;;;10;1,3;13;;;;;;;;;;;;;;
84;Ростовский филиал;Рай.центр;МОРОЗОВСК;RoMrzPdtl11MX480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960с;CR;MX960;10;0,792;DWDM;;;10;0,792;7,92;;;;;;;;;;;;;;
85;Ростовский филиал;Рай.центр;БОЛ. МАРТЫНОВКА;RoBmrLmshk28Mx80;AR;MX80;Рай.центр;СЕМИКАРАКОРСК;RoSmkArbs10MX480;AR;MX480;10;0,48;DWDM;;;10;0,48;4,8;;;;;;;;;;;;;;
86;Ростовский филиал;Рай.центр;БОЛ. МАРТЫНОВКА;RoBmrLmshk28Mx80;AR;MX80;Рай.центр;ВОЛГОДОНСК (Ленина 60);RoVlgLnn60Mx480;AR;MX480;10;0,89;DWDM;;;10;0,89;8,9;;;;;;;;;;;;;;
87;Ростовский филиал;Рай.центр;ПЕСЧАНОКОПСКИЙ;RoPscEngl212mx80;AR;MX80;Рай.центр;САЛЬСК;RoSlskPush4MX4800;AR;MX480;10;1,48;ВОЛС;;;10;1,48;14,8;;;;;;;;;;;;;;
88;Ростовский филиал;Рай.центр;РАЗВИЛЬНОЕ;RoPschRzvlMe38;AR;ME3800;Рай.центр;ПЕСЧАНОКОПСКИЙ;RoPscEngl212mx80;AR;MX80;10;0,77;DWDM;;;10;0,77;7,7;;;;;;;;;;;;;;
89;Ростовский филиал;Рай.центр;ПРОЛЕТАРСК;RoPrlKrsn79mx80;AR;MX80;Рай.центр;САЛЬСК;RoSlskPush4MX4800;AR;MX480;10;1,9;DWDM;;;10;1,9;19;;;;;;;;;;;;;;
90;Ростовский филиал;Рай.центр;ПРОЛЕТАРСК;RoPrlKrsn79mx80;AR;MX80;Рай.центр;ОРЛОВСКАЯ;RoOrlChpv85mx80;AR;MX80;10;0,128;DWDM;;;10;0,128;1,28;;;;;;;;;;;;;;
91;Ростовский филиал;Рай.центр;ОБЛИВСКАЯ;RoOblLenin25MX80;AR;MX80;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960d;CR;MX960;10;0,653;DWDM;;;10;0,653;6,53;;;;;;;;;;;;;;
92;Ростовский филиал;Рай.центр;ОБЛИВСКАЯ;RoOblLenin25MX80;AR;MX80;Рай.центр;СОВЕТСКАЯ;RoSovetsMX80;AR;MX80;10;0,007;DWDM;;;10;0,007;0,07;;;;;;;;;;;;;;
93;Ростовский филиал;Рай.центр;ОРЛОВСКАЯ;RoOrlChpv85mx80;AR;MX80;Рай.центр;ПРОЛЕТАРСК;RoPrlKrsn79mx80;AR;MX80;10;0,331;DWDM;;;10;0,331;3,31;;;;;;;;;;;;;;
94;Ростовский филиал;Рай.центр;ОРЛОВСКАЯ;RoOrlChpv85mx80;AR;MX80;Рай.центр;ЗИМОВНИКИ;RoZmvnKrgl97mx80;AR;MX80;10;1,28;DWDM;;;10;1,28;12,8;;;;;;;;;;;;;;
95;Ростовский филиал;Рай.центр;РЕМОНТНОЕ;RoRmnDzrzh50mx80;AR;MX80;Рай.центр;ЗАВЕТНОЕ;RoZvtLnn53mx80;AR;MX80;10;0,516;ВОЛС;;;10;0,516;5,16;;;;;;;;;;;;;;
96;Ростовский филиал;Рай.центр;РОД. НЕСВЕТАЙСКИЙ;RoRdnPshk23MX80;AR;MX80;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960с;CR;MX960;10;0,198;DWDM;;;10;0,198;1,98;;;;;;;;;;;;;;
97;Ростовский филиал;Рай.центр;РОД. НЕСВЕТАЙСКИЙ;RoRdnPshk23MX80;AR;MX80;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960d;CR;MX960;10;0,446;DWDM;;;10;0,446;4,46;;;;;;;;;;;;;;
98;Ростовский филиал;Рай.центр;САЛЬСК;RoSlskPush4MX4800;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960d;CR;MX960;10;2,66;DWDM;;;10;2,66;26,6;;;;;;;;;;;;;;
99;Ростовский филиал;Рай.центр;САЛЬСК;RoSlskPush4MX480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960с;CR;MX960;10;2,47;DWDM;;;10;2,47;24,7;;;;;;;;;;;;;;
100;Ростовский филиал;Рай.центр;САЛЬСК;RoSlskPush4MX4800;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960d;CR;MX960;10;2,61;DWDM;;;10;2,61;26,1;;;;;;;;;;;;;;
101;Ростовский филиал;Рай.центр;САЛЬСК;RoSlskPush4MX480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960с;CR;MX960;10;2,44;DWDM;;;10;2,44;24,4;;;;;;;;;;;;;;
102;Ростовский филиал;Рай.центр;СЕМИКАРАКОРСК;ROSmkArbs10MX480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960с;CR;MX960;10;3,33;DWDM;;;10;3,33;33,3;;;;;;;;;;;;;;
103;Ростовский филиал;Рай.центр;СЕМИКАРАКОРСК;ROSmkArbs10MX480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960d;CR;MX960;10;6,83;DWDM;;;10;6,83;68,3;;;;;;;;;;;;;;
104;Ростовский филиал;Рай.центр;СОВЕТСКАЯ;RoSovetsMX80;AR;MX80;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960с;CR;MX960;10;0,164;DWDM;;;10;0,164;1,64;;;;;;;;;;;;;;
105;Ростовский филиал;Рай.центр;СОВЕТСКАЯ;RoSovetsMX80;AR;MX80;Рай.центр;ОБЛИВСКАЯ;RoOblLenin25MX80;AR;MX80;10;0,007;DWDM;;;10;0,007;0,07;;;;;;;;;;;;;;
106;Ростовский филиал;Рай.центр;ТАГАНРОГ (З.Космодемьянской 22А);RoTgnZKsm22Mx480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960d;CR;MX960;10;3,36;DWDM;;;10;3,36;33,6;;;;;;;;;;;;;;
107;Ростовский филиал;Рай.центр;ТАГАНРОГ (З.Космодемьянской 22А);RoTgnZKsm22Mx480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960с;CR;MX960;10;3,76;DWDM;;;10;3,76;37,6;;;;;;;;;;;;;;
108;Ростовский филиал;Рай.центр;ТАГАНРОГ (З.Космодемьянской 22А);RoTgnZKsm22Mx480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960с;CR;MX960;10;3,58;DWDM;;;10;3,58;35,8;;;;;;;;;;;;;;
109;Ростовский филиал;Рай.центр;ТАГАНРОГ (З.Космодемьянской 22А);RoTgnZKsm22Mx480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960d;CR;MX960;10;3,79;DWDM;;;10;3,79;37,9;;;;;;;;;;;;;;
110;Ростовский филиал;Рай.центр;ТАГАНРОГ (З.Космодемьянской 22А);RoTgnZKsm22Mx480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960d;CR;MX960;10;2,51;DWDM;;;10;2,51;25,1;;;;;;;;;;;;;;
111;Ростовский филиал;Рай.центр;ТАГАНРОГ (З.Космодемьянской 22А);RoTgnZKsm22Mx480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960с;CR;MX960;10;4,46;DWDM;;;10;4,46;44,6;;;;;;;;;;;;;;
112;Ростовский филиал;Рай.центр;ТАГАНРОГ (З.Космодемьянской 22А);RoTgnZKsm22Mx480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960с;CR;MX960;10;2,11;DWDM;;;10;2,11;21,1;;;;;;;;;;;;;;
113;Ростовский филиал;Рай.центр;ТАГАНРОГ (З.Космодемьянской 22А);RoTgnZKsm22Mx480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960d;CR;MX960;10;3,77;DWDM;;;10;3,77;37,7;;;;;;;;;;;;;;
114;Ростовский филиал;Рай.центр;ТАГАНРОГ (З.Космодемьянской 22А);RoTgnZKsm22Mx480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960с;CR;MX960;10;2,12;DWDM;;;10;2,12;21,2;;;;;;;;;;;;;;
115;Ростовский филиал;Рай.центр;ТАГАНРОГ (З.Космодемьянской 22А);RoTgnZKsm22Mx480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960d;CR;MX960;10;3,06;DWDM;;;10;3,06;30,6;;;;;;;;;;;;;;
116;Ростовский филиал;Рай.центр;ТАГАНРОГ (Фрунзе 38);RoTgnFrn38Mx480;AR;MX480;Рай.центр;ТАГАНРОГ (З.Космодемьянской 22А);RoTgnZKsm22Mx480;AR;MX480;10;3,63;DWDM;;;10;3,63;36,3;;;;;;;;;;;;;;
117;Ростовский филиал;Рай.центр;ТАГАНРОГ (Фрунзе 38);RoTgnFrn38Mx480;AR;MX480;Рай.центр;ТАГАНРОГ (З.Космодемьянской 22А);RoTgnZKsm22Mx480;AR;MX480;10;1,55;DWDM;;;10;1,55;15,5;;;;;;;;;;;;;;
118;Ростовский филиал;Рай.центр;ТАГАНРОГ (Дзержинского 140);RoTgnDzrg140MX80;AR;MX80;Рай.центр;ТАГАНРОГ (З.Космодемьянской 22А);RoTgnZKsm22Mx480;AR;MX480;10;1,92;DWDM;;;10;1,92;19,2;;;;;;;;;;;;;;
119;Ростовский филиал;Рай.центр;ТАГАНРОГ (Дзержинского 140);RoTgnDzrg140MX80;AR;MX80;Рай.центр;ТАГАНРОГ (З.Космодемьянской 22А);RoTgnZKsm22Mx480;AR;MX480;10;0,339;DWDM;;;10;0,339;3,39;;;;;;;;;;;;;;
120;Ростовский филиал;Рай.центр;ТАГАНРОГ (С. Шило 243);RoTgnShl243Mx80;AR;MX80;Рай.центр;ТАГАНРОГ (З.Космодемьянской 22А);RoTgnZKsm22Mx480;AR;MX480;10;3,09;DWDM;;;10;3,09;30,9;;;;;;;;;;;;;;
121;Ростовский филиал;Рай.центр;ТАГАНРОГ (С. Шило 243);RoTgnShl243Mx80;AR;MX80;Рай.центр;ТАГАНРОГ (З.Космодемьянской 22А);RoTgnZKsm22Mx480;AR;MX480;10;4;DWDM;;;10;4;40;;;;;;;;;;;;;;
122;Ростовский филиал;Рай.центр;ТАГАНРОГ (Б. Проспект 44);RoTgnBPrsp44MX80;AR;MX80;Рай.центр;ТАГАНРОГ (З.Космодемьянской 22А);RoTgnZKsm22Mx480;AR;MX480;10;1,73;DWDM;;;10;1,73;17,3;;;;;;;;;;;;;;
123;Ростовский филиал;Рай.центр;ТАГАНРОГ (Б. Проспект 44);RoTgnBPrsp44MX80;AR;MX80;Рай.центр;ТАГАНРОГ (З.Космодемьянской 22А);RoTgnZKsm22Mx480;AR;MX480;10;2,29;DWDM;;;10;2,29;22,9;;;;;;;;;;;;;;
124;Ростовский филиал;Рай.центр;ТАЦИНСКАЯ;RoTcnPltr1MX80;AR;MX80;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960с;CR;MX960;10;0,294;DWDM;;;10;0,294;2,94;;;;;;;;;;;;;;
125;Ростовский филиал;Рай.центр;ТАЦИНСКАЯ;RoTcnPltr1MX80;AR;MX80;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960d;CR;MX960;10;0,271;DWDM;;;10;0,271;2,71;;;;;;;;;;;;;;
126;Ростовский филиал;Рай.центр;ТАРАСОВСКИЙ;RoTrsLerm50MX80;AR;MX80;Рай.центр;МИЛЛЕРОВО;RoMllShlh33mx480;AR;MX480;10;0,140;DWDM;;;10;0,140;1,4;;;;;;;;;;;;;;
127;Ростовский филиал;Рай.центр;ТАРАСОВСКИЙ;RoTrsLerm50MX80;AR;MX80;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960с;CR;MX960;10;1,13;DWDM;;;10;1,13;11,3;;;;;;;;;;;;;;
128;Ростовский филиал;Рай.центр;УСТЬ ДОНЕЦКИЙ;RoUstLnn15mx80;AR;MX80;Рай.центр;КОНСТАНТИНОВСК;RoKnsLnn46mx80;AR;MX80;10;2,43;ВОЛС;;;10;2,43;24,3;;;;;;;;;;;;;;
129;Ростовский филиал;Рай.центр;ШАХТЫ;ROShkthKMrks106MX480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960d;CR;MX960;10;1,73;DWDM;;;10;1,73;17,3;;;;;;;;;;;;;;
130;Ростовский филиал;Рай.центр;ШАХТЫ;ROShkthKMrks106MX480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960с;CR;MX960;10;3,63;DWDM;;;10;3,63;36,3;;;;;;;;;;;;;;
131;Ростовский филиал;Рай.центр;ШАХТЫ;ROShkthKMrks106MX480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49mx960d;CR;MX960;10;5,93;DWDM;;;10;5,93;59,3;;;;;;;;;;;;;;
132;Ростовский филиал;Рай.центр;ШАХТЫ;ROShkthKMrks106MX480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49mx960c;DR;MX960;10;2,49;DWDM;;;10;2,49;24,9;;;;;;;;;;;;;;
133;Ростовский филиал;Рай.центр;ШАХТЫ;ROShkthKMrks106MX480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960d;CR;MX960;10;6,02;DWDM;;;10;6,02;60,2;;;;;;;;;;;;;;
134;Ростовский филиал;Рай.центр;ШАХТЫ;ROShkthKMrks106MX480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960с;CR;MX960;10;3,68;DWDM;;;10;3,68;36,8;;;;;;;;;;;;;;
135;Ростовский филиал;Рай.центр;ШАХТЫ;ROShkthKMrks106MX480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960d;CR;MX960;10;1,72;DWDM;;;10;1,72;17,2;;;;;;;;;;;;;;
136;Ростовский филиал;Рай.центр;ШАХТЫ;ROShkthKMrks106MX480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960с;CR;MX960;10;2,48;DWDM;;;10;2,48;24,8;;;;;;;;;;;;;;
137;Ростовский филиал;Рай.центр;ЦЕЛИНА;RoCln1ln134mx80;AR;MX80;Рай.центр;САЛЬСК;RoSlskPush4MX4800;AR;MX480;10;1,29;DWDM;;;10;1,29;12,9;;;;;;;;;;;;;;
138;Ростовский филиал;Рай.центр;ЦЕЛИНА;RoCln1ln134mx80;AR;MX80;Рай.центр;ЕГОРЛЫКCКАЯ;RoEgrLnc34mx80;AR;MX80;10;0;DWDM;;;10;0;0;;;;;;;;;;;;;;
139;Ростовский филиал;Рай.центр;ЦИМЛЯНСК;RoCmlPion20MX80;AR;MX80;Рай.центр;МОРОЗОВСК;RoMrzPdtl11MX480;AR;MX480;10;0,769;DWDM;;;10;0,769;7,69;;;;;;;;;;;;;;
140;Ростовский филиал;Рай.центр;ЦИМЛЯНСК;RoCmlPion20MX80;AR;MX80;Рай.центр;ВОЛГОДОНСК (Ленина 60);RoVlgLnn60Mx480;AR;MX480;10;1,53;DWDM;;;10;1,53;15,3;;;;;;;;;;;;;;
141;Ростовский филиал;Рай.центр;ЧАЛТЫРЬ;RoChltKMrks65MX80;AR;MX80;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960с;CR;MX960;10;1,38;DWDM;;;10;1,38;13,8;;;;;;;;;;;;;;
142;Ростовский филиал;Рай.центр;ЧАЛТЫРЬ;RoChltKMrks65MX80;AR;MX80;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960d;CR;MX960;10;2,06;DWDM;;;10;2,06;20,6;;;;;;;;;;;;;;
143;Ростовский филиал;Рай.центр;ЧЕРТКОВО;RoCrtPrv18MX80;AR;MX80;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960с;CR;MX960;10;1,16;DWDM;;;10;1,16;11,6;;;;;;;;;;;;;;
144;Ростовский филиал;Рай.центр;ЧЕРТКОВО;RoCrtPrv18MX80;AR;MX80;Рай.центр;АЛЕКСЕЕВО-ЛАЗОВСКОЕ;RoCrtALzvMX80;AR;MX80;10;0,338;DWDM;;;10;0,338;3,38;;;;;;;;;;;;;;
145;Ростовский филиал;Рай.центр;ЧЕРТКОВО;RoCrtPrv18MX80;AR;MX80;Рай.центр;КАЗАНСКАЯ;RoKazMtr22MX80;AR;MX80;10;0,046;DWDM;;;10;0,046;0,46;;;;;;;;;;;;;;
146;Ростовский филиал;Рай.центр;АЛЕКСЕЕВО-ЛАЗОВСКОЕ;RoCrtALzvMX80;AR;MX80;Рай.центр;ЧЕРТКОВО;RoCrtPrv18MX80;AR;MX80;10;0,338;DWDM;;;10;0,338;3,38;;;;;;;;;;;;;;
147;Ростовский филиал;Рай.центр;АЛЕКСЕЕВО-ЛАЗОВСКОЕ;RoCrtALzvMX80;AR;MX80;Рай.центр;КАЗАНСКАЯ;RoKazMtr22MX80;AR;MX80;10;0,171;DWDM;;;10;0,171;1,71;;;;;;;;;;;;;;
148;Ростовский филиал;Обл.центр;Ростов-на-Дону  АРЕНА;RoRstArnMX480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960с;CR;MX960;10;0,8;DWDM;;;10;0,8;8;;;;;;;;;;;;;;
149;Ростовский филиал;Обл.центр;Ростов-на-Дону  АРЕНА;RoRstArnMX480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960d;CR;MX960;10;0,74;DWDM;;;10;0,74;7,4;;;;;;;;;;;;;;
150;Ростовский филиал;Обл.центр;Ростов-на-Дону  АРЕНА;RoRstArnMX480;AR;MX480;Рай.центр;АКСАЙ;RoAksLnn30mx480;AR;MX480;10;0;DWDM;;;10;0;0;;;;;;;;;;;;;;
151;Ростовский филиал;Обл.центр;Ростов-на-Дону  АРЕНА;RoRstArnMX480;AR;MX480;Рай.центр;АКСАЙ;RoAksLnn30mx480;AR;MX480;10;0;DWDM;;;10;0;0;;;;;;;;;;;;;;
152;Ростовский филиал;Обл.центр;Ростов-на-Дону АТС-22;RORstKmst10MX480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960d;CR;MX960;10;3,1;DWDM;;;10;3,1;31;;;;;;;;;;;;;;
153;Ростовский филиал;Обл.центр;Ростов-на-Дону АТС-22;RORstKmst10MX480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960с;CR;MX960;10;2,94;DWDM;;;10;2,94;29,4;;;;;;;;;;;;;;
